Scenario,N_Nodes,K_Flows,Alpha,Stress,Algorithm,Obj_F,T_max,T_sum,F_gap,E_total,Active_Links,Multipaths,EE(Mbits/J),JFI,Avg_Delay,Iteration,Time(ms)
Varying_K,60,40,0.4,5,Static-Allocation,2.22507,5.54757,5.54757,0,3.36402,96,0,30.065,0.439415,0.434526,1,50
Varying_K,60,45,0.4,5,BCD-FW,0.426519,5.30336,5.30336,0,0.18194,81,1,681.03,0.885072,2.37279,3,38420
Varying_K,60,45,0.4,5,BCD-IPM,0.418196,5.20843,5.20843,0,0.177345,97,19,698.676,0.905867,2.07867,3,195733
Varying_K,60,45,0.4,5,Game-Greedy,1.04171,3.0225,3.0225,0,1.65661,70,0,74.7951,0.755513,0.649797,1,64
Varying_K,60,45,0.4,5,SCA-Baseline,2.84771,4.2926,4.2926,0,5.01332,107,0,24.7155,0.516214,0.483112,1,2281
Varying_K,60,45,0.4,5,SP-PDA,0.481474,6.05283,6.05283,0,0.197306,115,0,627.991,0.938848,2.10352,1,558
Varying_K,60,45,0.4,5,KSP-PDA,0.957118,12.6138,17.6116,1.99911,0.321241,259,45,385.713,0.906728,1.68011,1,1022
Varying_K,60,45,0.4,5,Static-Allocation,2.61737,5.26273,5.26273,0,4.44699,115,0,27.863,0.493821,0.484199,1,50
Varying_K,60,50,0.4,5,BCD-FW,0.508942,7.10889,7.10889,0,0.17088,108,0,773.059,0.940436,2.48308,2,33807
Varying_K,60,50,0.4,5,BCD-IPM,0.375691,5.01023,5.15183,0.0566416,0.151359,103,21,872.761,0.934972,2.14643,4,288058
Varying_K,60,50,0.4,5,Game-Greedy,0.909638,2.0163,2.0163,0,1.44091,72,0,91.6788,0.811486,0.635263,1,72
Varying_K,60,50,0.4,5,SCA-Baseline,2.99551,4.5052,4.5052,0,4.97178,115,0,26.5701,0.561555,0.483472,1,2407
Varying_K,60,50,0.4,5,SP-PDA,23.6415,402.407,402.407,0,0.270114,128,0,489.055,0.199479,15.013,1,142
Varying_K,60,50,0.4,5,KSP-PDA,0.981748,14.1777,15.5999,0.568911,0.280274,306,50,471.326,0.864693,1.6737,1,1219
Varying_K,60,50,0.4,5,Static-Allocation,2.66837,5.62535,5.62535,0,4.25755,128,0,31.0274,0.512351,0.483437,1,51
Varying_N,60,20,0.4,5,BCD-FW,0.588696,4.20781,4.20781,0,0.126459,58,0,354.977,0.979573,1.34589,4,8666
Varying_N,60,20,0.4,5,BCD-IPM,0.437863,3.08232,3.08232,0,0.100085,60,2,448.518,0.983613,0.994545,4,78460
Varying_N,60,20,0.4,5,Game-Greedy,0.489926,1.40483,1.40483,0,0.371975,48,0,120.68,0.804843,0.251619,1,28
Varying_N,60,20,0.4,5,SCA-Baseline,1.5725,2.76596,2.76596,0,1.41563,61,0,31.7103,0.476854,0.216956,1,910
Varying_N,60,20,0.4,5,SP-PDA,0.594506,4.29144,4.29144,0,0.122352,69,0,366.891,0.999152,1.16829,1,319
Varying_N,60,20,0.4,5,KSP-PDA,0.868716,6.20956,7.27681,0.4269,0.186578,175,20,240.596,0.969982,0.811882,1,645
Varying_N,60,20,0.4,5,Static-Allocation,1.62926,3.46944,3.46944,0,1.38995,69,0,32.2962,0.445198,0.219475,1,26
Varying_N,80,20,0.4,5,BCD-FW,0.462984,2.15861,2.15861,0,0.0734464,72,0,506.158,1,0.599312,2,14208
Varying_N,80,20,0.4,5,BCD-IPM,0.444279,2.06761,2.06761,0,0.0710405,69,1,523.3,0.999896,0.598999,6,210728
Varying_N,80,20,0.4,5,Game-Greedy,0.520357,1.07083,1.07083,0,0.283315,48,0,131.216,0.838255,0.221095,1,58
Varying_N,80,20,0.4,5,SCA-Baseline,1.8407,2.77555,2.77555,0,1.15216,75,0,32.2659,0.459589,0.135275,1,1562
Varying_N,80,20,0.4,5,SP-PDA,0.473594,2.21689,2.21689,0,0.0738235,81,0,503.573,1,0.547269,1,733
Varying_N,80,20,0.4,5,KSP-PDA,0.984427,4.4036,7.22343,1.12793,0.183746,239,20,202.32,0.975913,0.592911,1,406
Varying_N,80,20,0.4,5,Static-Allocation,1.91205,2.98074,2.98074,0,1.18237,81,0,31.4416,0.460368,0.134709,1,35
Varying_N,100,20,0.4,5,BCD-FW,0.378747,2.52654,2.52654,0,0.0801231,69,0,616.476,0.949742,0.679844,2,25534
Varying_N,100,20,0.4,5,BCD-IPM,0.378427,2.52478,2.52478,0,0.0800071,69,0,617.37,0.949769,0.679384,3,134916
Varying_N,100,20,0.4,5,Game-Greedy,0.418713,1.24079,1.24079,0,0.284209,56,0,173.795,0.880026,0.241966,1,60
Varying_N,100,20,0.4,5,SCA-Baseline,1.74531,1.90865,1.90865,0,1.59592,72,0,30.9502,0.634905,0.172731,1,2116
Varying_N,100,20,0.4,5,SP-PDA,0.387652,2.59385,2.59385,0,0.0810098,74,0,609.729,0.974015,0.675273,1,820
Varying_N,100,20,0.4,5,KSP-PDA,5.58273,44.7997,59.1444,5.73786,0.228465,270,20,216.199,0.396034,0.944641,1,268
Varying_N,100,20,0.4,5,Static-Allocation,1.8013,2.02844,2.02844,0,1.63974,74,0,30.1231,0.634684,0.172618,1,47
Varying_N,120,20,0.4,5,BCD-FW,0.491447,3.41846,3.41846,0,0.126398,71,0,431.108,0.972218,0.926801,2,32372
Varying_N,120,20,0.4,5,BCD-IPM,0.491447,3.41846,3.41846,0,0.126398,71,0,431.108,0.972218,0.926801,3,200936
Varying_N,120,20,0.4,5,Game-Greedy,0.400599,1.71775,1.71775,0,0.269557,61,0,202.15,0.827673,0.294601,1,105
Varying_N,120,20,0.4,5,SCA-Baseline,2.22327,3.48569,3.48569,0,2.43828,83,0,22.3482,0.405929,0.208095,1,3402
Varying_N,120,20,0.4,5,SP-PDA,0.814618,5.99664,5.99664,0,0.158063,78,0,344.742,0.99103,1.1807,1,446
Varying_N,120,20,0.4,5,KSP-PDA,4.90576,40.4547,42.3246,0.747951,0.27536,275,20,197.89,0.430401,0.866577,1,434
Varying_N,120,20,0.4,5,Static-Allocation,2.16992,3.28785,3.28785,0,2.39755,78,0,22.7277,0.403845,0.211128,1,72
Varying_N,140,20,0.4,5,BCD-FW,0.466405,1.95871,1.95871,0,0.0752908,65,0,610.679,1,0.602265,2,33610
Varying_N,140,20,0.4,5,BCD-IPM,0.453715,1.90166,1.90166,0,0.0738656,63,0,622.462,1,0.603323,3,551196
Varying_N,140,20,0.4,5,Game-Greedy,0.37269,1.09841,1.09841,0,0.13737,50,0,334.707,0.87284,0.216541,1,110
Varying_N,140,20,0.4,5,SCA-Baseline,1.72141,1.78247,1.78247,0,1.17888,63,0,39.0019,0.512061,0.150946,1,4206
Varying_N,140,20,0.4,5,SP-PDA,0.488201,2.05425,2.05425,0,0.0781475,67,0,588.355,1,0.612949,1,1350
Varying_N,140,20,0.4,5,KSP-PDA,0.74003,2.88583,5.38601,1.00007,0.156185,274,20,294.384,0.973783,0.39311,1,2254
Varying_N,140,20,0.4,5,Static-Allocation,1.81672,1.69563,1.69563,0,1.27484,67,0,36.0662,0.518795,0.14288,1,89
Varying_N,160,20,0.4,5,BCD-FW,0.444134,2.00345,2.00345,0,0.06374,92,0,497.231,1,0.43529,2,44422
Varying_N,160,20,0.4,5,BCD-IPM,0.441056,1.989,1.989,0,0.063379,91,0,500.063,1,0.436899,3,352969
Varying_N,160,20,0.4,5,Game-Greedy,0.380088,0.948765,0.948765,0,0.165164,62,0,191.891,0.94341,0.187149,1,162
Varying_N,160,20,0.4,5,SCA-Baseline,1.90035,1.41188,1.41188,0,1.30704,91,0,24.2483,0.795047,0.117061,1,5588
Varying_N,160,20,0.4,5,SP-PDA,0.456383,2.06118,2.06118,0,0.0651399,94,0,486.545,1,0.438365,1,1703
Varying_N,160,20,0.4,5,KSP-PDA,0.744862,3.17075,5.33197,0.864489,0.134237,327,20,236.101,0.979485,0.326087,1,2716
Varying_N,160,20,0.4,5,Static-Allocation,1.88043,1.31282,1.31282,0,1.30551,94,0,24.2767,0.824705,0.116957,1,122
Varying_N,180,20,0.4,5,BCD-FW,0.488064,4.2164,4.2164,0,0.145937,73,0,482.413,1,1.15505,3,173160
Varying_N,180,20,0.4,5,BCD-IPM,0.932027,8.01519,0,0,0.28392,292,20,247.964,0.967959,0.702045,3,1036982
Varying_N,180,20,0.4,5,Game-Greedy,0.461886,3.13062,3.13062,0,0.260901,63,0,269.842,0.821586,0.414663,1,208
Varying_N,180,20,0.4,5,SCA-Baseline,2.6909,4.86247,4.86247,0,3.43068,92,0,20.5213,0.518818,0.265597,1,7596
Varying_N,180,20,0.4,5,SP-PDA,37.6278,400,400,0,0.547645,86,0,128.554,0.401155,22.6887,1,356
Varying_N,180,20,0.4,5,KSP-PDA,0.932027,8.01519,14.1616,2.45858,0.28392,292,20,247.964,0.967959,0.702045,1,1082
Varying_N,180,20,0.4,5,Static-Allocation,2.45084,4.46277,4.46277,0,3.11976,86,0,22.5665,0.508378,0.258821,1,152
